City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
127,Nioro,GM,13.35,-15.75,78.22,86,97,1.81,light rain
128,New Norfolk,AU,-42.7826,147.0587,53.71,67,80,1.99,broken clouds
129,Ilulissat,GL,69.2167,-51.1,18.39,86,20,4.56,few clouds
130,Coban,GT,15.4833,-90.3667,67.78,88,100,4.61,overcast clouds
131,Sanary-Sur-Mer,FR,43.1178,5.8001,70.88,54,19,1.1,few clouds
132,Huarmey,PE,-10.0681,-78.1522,64.35,81,13,9.95,few clouds
133,Opuwo,NA,-18.0607,13.84,70.7,34,71,4.14,broken clouds
134,Blomberg,DE,51.9433,9.0907,49.64,92,99,3.13,overcast clouds
135,Honolulu,US,21.3069,-157.8583,85.71,64,20,11.5,few clouds
136,Husavik,IS,66.0449,-17.3389,44.02,89,100,7.85,overcast clouds
137,Fayaoue,NC,-20.65,166.5333,73.58,67,60,19.13,broken clouds
138,Vila Velha,BR,-20.3297,-40.2925,76.95,91,100,10.36,overcast clouds
139,East London,ZA,-33.0153,27.9116,63.3,74,100,11.97,overcast clouds
140,Rio Cuarto,AR,-33.1307,-64.3499,74.97,19,0,31.07,clear sky
141,Mutis,CO,6.2262,-77.4044,80.02,86,75,4.9,light rain
142,Tiksi,RU,71.6872,128.8694,19.74,90,98,10.96,overcast clouds
143,Thompson,CA,55.7435,-97.8558,57.36,38,20,4.61,few clouds
144,Tasiilaq,GL,65.6145,-37.6368,34.32,99,100,7.23,light snow
145,Boa Vista,BR,2.8197,-60.6733,82.38,65,40,4.61,scattered clouds
146,Riviere-Au-Renard,CA,48.9957,-64.3971,44.89,73,0,7.09,clear sky
147,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,12.66,few clouds
148,Katherine,AU,-14.4667,132.2667,82.72,61,0,6.91,clear sky
149,Stawell,AU,-37.05,142.7667,54.59,90,100,7.94,overcast clouds
150,Nizhniy Odes,RU,63.6445,54.856,41.04,82,100,3.49,overcast clouds
151,Seoul,KR,37.5683,126.9778,69.19,94,75,10.36,light intensity drizzle
